video_id,annotation_path,prediction_path,has_prediction,action_gt,action_pred,action_correct,pck,pck_correct,pck_total,angle_mae_deg,angle_pairs,error_type_labels,status,message
squat_018,evaluation\action_analysis\dataset\annotations\squat_018.json,evaluation\action_analysis\dataset\predictions\squat_018_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_018.json
squat_019,evaluation\action_analysis\dataset\annotations\squat_019.json,evaluation\action_analysis\dataset\predictions\squat_019_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_019.json
squat_020,evaluation\action_analysis\dataset\annotations\squat_020.json,evaluation\action_analysis\dataset\predictions\squat_020_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_020.json
squat_021,evaluation\action_analysis\dataset\annotations\squat_021.json,evaluation\action_analysis\dataset\predictions\squat_021_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_021.json
squat_022,evaluation\action_analysis\dataset\annotations\squat_022.json,evaluation\action_analysis\dataset\predictions\squat_022_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_022.json
squat_023,evaluation\action_analysis\dataset\annotations\squat_023.json,evaluation\action_analysis\dataset\predictions\squat_023_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_023.json
squat_024,evaluation\action_analysis\dataset\annotations\squat_024.json,evaluation\action_analysis\dataset\predictions\squat_024_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_024.json
squat_025,evaluation\action_analysis\dataset\annotations\squat_025.json,evaluation\action_analysis\dataset\predictions\squat_025_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_025.json
squat_026,evaluation\action_analysis\dataset\annotations\squat_026.json,evaluation\action_analysis\dataset\predictions\squat_026_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_026.json
squat_027,evaluation\action_analysis\dataset\annotations\squat_027.json,evaluation\action_analysis\dataset\predictions\squat_027_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_027.json
squat_028,evaluation\action_analysis\dataset\annotations\squat_028.json,evaluation\action_analysis\dataset\predictions\squat_028_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_028.json
squat_029,evaluation\action_analysis\dataset\annotations\squat_029.json,evaluation\action_analysis\dataset\predictions\squat_029_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_029.json
squat_030,evaluation\action_analysis\dataset\annotations\squat_030.json,evaluation\action_analysis\dataset\predictions\squat_030_pred.json,False,,,,,0,0,,0,,MISSING_ANNOTATION,annotation not found: evaluation\action_analysis\dataset\annotations\squat_030.json
